observed_at,source,level,variant,outcome,hits_to_clear,time_to_clear_s,speed_p50,speed_p90,speed_max,damage_p50,damage_max,max_combo,glancing_hits,damaging_hits,rope_contacts,yanks,frame_ms_p95,errors
2026-09-13T13:07:59.471Z,human,L1,standard,SHATTER,3,2.22,112.93,361.05,578.72,40,40,3,1,3,507,0,6.1,0
2026-09-13T13:08:04.705Z,human,L2,standard,SHATTER,4,2.59,187.26,623.45,706.59,40,40,4,0,4,442,0,6.2,0
2026-09-13T13:08:08.570Z,human,L2,standard,SHATTER,4,2.59,177.82,315.35,423.95,21.02,40,4,3,4,505,0,6.2,0
2026-09-13T13:08:12.547Z,human,L2,standard,SHATTER,3,2.38,208.54,492.22,759.38,40,40,3,0,3,466,0,6.2,0
2026-09-13T13:08:16.325Z,human,L2,standard,SHATTER,3,2.29,150.17,518.22,706.41,40,40,3,1,3,378,0,6.2,0
2026-09-13T13:08:19.636Z,human,L2,standard,SHATTER,4,3.63,185.12,303.28,462.5,40,40,4,1,4,546,1,6.2,0
2026-09-13T13:08:26.059Z,human,L2,standard,SHATTER,4,3.95,192.16,358.05,541.43,40,40,3,1,4,368,0,6.2,0
2026-09-13T13:08:31.317Z,human,L3,standard,SHATTER,3,2.45,157.35,356.9,455.49,40,40,3,0,3,162,0,6.2,0
2026-09-13T13:08:34.891Z,human,L3,standard,SHATTER,4,2.62,144.56,330.78,534.48,40,40,4,1,4,473,0,6.2,0
2026-09-13T13:08:38.481Z,human,L3,standard,SHATTER,3,2.25,143.71,276.01,350.03,40,40,3,0,3,133,0,6.2,0
2026-09-13T13:08:41.794Z,human,L3,standard,SHATTER,4,2.82,111.29,268.64,343.52,36.55,40,4,0,4,439,0,6.2,0
2026-09-13T13:08:45.668Z,human,L4,standard,SHATTER,3,3.6,114.61,301.37,565.82,40,40,3,2,3,594,0,6.2,0
2026-09-13T13:08:50.562Z,human,L4,standard,SHATTER,3,3.31,85.68,340.5,496.78,40,40,3,0,3,295,0,6.2,0
2026-09-13T13:08:55.143Z,human,L4,standard,SHATTER,3,3.31,149.46,252.86,366.38,37.98,40,3,0,3,380,0,6.1,0
2026-09-13T13:08:59.726Z,human,L5,standard,SHATTER,5,7.57,121.11,250.69,489.64,26.27,40,2,2,5,1232,0,6.1,0
2026-09-13T13:09:08.439Z,human,L5,standard,SHATTER,4,5.88,74.09,254.57,555.59,24.55,40,3,1,4,3905,0,6.2,0
2026-09-13T13:09:15.641Z,human,L5,standard,SHATTER,4,5.05,113.53,190.04,364.96,29.4,40,4,1,4,443,2,6.2,0
